armenian,phonetic
"ընկալաւ","ûzsa"
"ըզսա","soorp"
"սուրբ","hérgnayin"
"յերկնային","yév"
"յիմանալի","chr."
"իւր","dér"
"մատուցարանն","voghormya."
"ըզփոխանակն","dcn."
"առաքեսցէ","ûngal"
"ըզշնորհս","gétso"
"ըզպարգեւըս","yév"
"հոգւոյն","voghormya"
"սըրբոյ","yév"
"ըզտէր","bahya"
"աղաչեսցուք:","ûzméz"
"դպր.","dér"
"տէր","koyin"
"ողորﬔա:","shnorhivt."
"սրկ.","chr."
"ընկալ","gétso"
"կեցո","dér"
"ողորﬔա","yév"
"պահեա","voghormya."
"ըզﬔզ","dcn."
"տէր","zaménasûrpoohi"
"քոյին","zasdvadzadzinn"
"շնորհիւդ:","ûzmishd"
"դպր.","gooysûn"
"կեցո","mariyam"
"տէր","hantérts"
"ողորﬔա:","chr."
"սրկ.","hishya"
"զաﬔնասըրբուհի","dér"
"զաստուածածինն","yév"
"ըզﬕշտ","voghormya."
"կոյսըն","dér"
"մարիամ","voghormya."
"հանդերձ","kéz"
"աﬔնայն","dyarnût"
"սըրբովք","hantsn"
"յիշելով","clb."
"ըզտէր","yév"
"աղաչեսցուք:","door"
"դպր.","méz"
"յիշեա","hamartsagatsayn"
"տէր","parparov"
"ողորﬔա:","panal"
"տէր","ûzpéranûs"
"ողորﬔա։","mér"
"քեզ","gartal"
"դպր.","chr."
"հայր","hayr"
"յերկինս","clb."
"ես","arkayootyoon"
"սուրբ","yév"
"եղիցի","zorootyoon"
"անուն","yév"
"քո:","park"
"եկեսցէ","havidyans."
"արքայութիւն","amén."
"քո.","chr."
"եղիցին","yév"
"կամք","ûnt"
"որպէս","hokvooyt"
"յերկինս","koom."
"յերկրի:","dcn."
"զհաց","asdoodzo"
"հանապազորդ","yérgirbakéstsook."
"տուր","clb."
"այսօր:","krisdosiv"
"թող","hisoosiv"
"ըզպարտիս","déramp"
"ﬔր","mérov"
"որպէս","ûnt"
"թողումք","voroom"
"ﬔրոց","kéz"
"պարտապանաց:","hokvooyt"
"տանիր","sûrpo"
"զﬔզ","dcn."
"փորձութիւն.","broskhoomé."
"այլ","clb."
"փըրկեա","sûrpootyoon"
"չարէ:","sûrpots."
"քհն.","chr."
"արքայութիւն","miyayn"
"զօրութիւն","soorp"
"փառք","miyayn"
"յաւիտեանս։","dér"
"ամէն:","hisoos"
"խաղաղութիւն","krisdos"
"աﬔնեցուն:","pars"
"դպր.","asdoodzo"
"ընդ","hor."
"հոգւոյդ","clb."
"քում:","orhnyal"
"սրկ.","hayr"
"աստուծոյ","soorp"
"երկիրպագեսցուք:","asdvadz"
"դպր.","jûshmarid."
"առաջի","clb."
"քո","orhnyal"
"տէր:","vortit"
"քհն.","soorp"
"քրիստոսիւ","asdvadz"
"յիսուսիւ","jûshmarid."
"քհն.","clb."
"օրհնեալ","orhnyal"
"հոգիդ","hokit"
"սուրբ","soorp"
"աստուած","asdvadz"
"qշմարիտ:","jûshmarid."
"դպր.","clb."
"ամէն:","orhnootyoon"
"քհն.","yév"
"օրհնութիւն","park"
"փառք","hor"
"հօր","yév"
"որդւոյ","vortvo"
"հոգւոյն","yév"
"սրբոյ","hokvooyn"
"այժմ","sûrpo"
"ﬕշտ","ayzhm"
"յաւիտեանս","chr."
"յաւիտենից։","amén."
"ամէն:","hayr"
"դպր.","soorp"
"ամէն։","vortit"
"հայր","soorp"
"սուրբ","hokit"
"որդիդ","soorp."
"սուրբ","orhnootyoon"
"հոգիդ","hor"
"սուրբ:","yév"
"օրհնութիւն","clb."
"հօր","soorp"
"որդւոյ","soorp"
"սըրբոյ","badvagan"
"հոգւոյն","marmno"
"այժմ","yév"
"ﬕշտ","haréné"
"յաւիտեանս","dyarûn"
"յաւիտենից։","méro"
"ամէն:","yév"
"քհն.","clb."
"սուրբ","sa"
"սուրբ","gyank"
"պատուական","hooys"
"մարﬓոյ","harootyoon"
"յարենէ","kavootyoon"
"տեառն","yév"
"ﬔրոյ","toghootyoon"
"փրկչին","chr."
"յիսուսի","dér"
"քրիստոսի","voghormya"
"ճաշակեսցուք","dér"
"սրբութեամբ","voghormya"
"իջեալ","dér"
"յերկնից","voghormya"
"բաշխի","dér"
"ﬕջի","voghormya."
"ﬔրում:","dcn."
"քհն.","dér"
"սա","voghormya"
"կեանք","dér"
"յոյս","voghormya"
"յարութիւն","dér"
"քաւութիւն","voghormya"
"թողութիւն","dér"
"ﬔղաց:","voghormya."
"սաղմոս","chr."
"ասացէք","aménasoorp"
"տեառն","yérrortootyoon"
"աստուծոյ","door"
"ﬔրում","ashkharhis"
"սաղմոս","khaghaghootyoon."
"ասացէք","dcn."
"երկնաւոր","yév"
"թագաւորիս","hivantats"
"ﬔրում","pûzhûshgootyoon"
"անմահի","nûnchétsélots"
"նստի","arkayootyoon."
"սրկ.","chr."
"հաս","dér"
"յօգնութիւն","voghormya"
"ծառայից","dér"
"քոց","voghormyahisoos"
"լեր","pûrgich"
"օգնական","méz"
"ազգիս","voghormya."
"հայոց։","dcn."
"դպր.","michnortootyamp"
"տէր","soorp"
"ողորﬔա","yév"
"տէր","anmah"
"ողորﬔա","yév"
"յիսուս","génarar"
"փրկիչ","badarakis."
"ողորﬔա:","chr."
"սրկ.","ûngal"
"միջնորդութեամբ","dér"
"սուրբ","yév"
"անմահ","voghormya."
"կենարար","dcn."
"պատարագիս:","saghmos"
"դպր.","asatsék"
"ընկալ","dyarn"
"տէր","asdoodzo"
"ողորﬔա։","méroom"
"սրկ.","tûbirk"
"սաղմոս","tsayniv"
"ասացէք","chr."
"տեառն","orhnyal"
"աստուծոյ","asdvadz."
"ﬔրում","krisdos"
"դըպիրք","badarakyal"
"ձայնիւ","pashkhi"
"քաղցրութեամբ","michi"
"զերգըս","méroom"
"հոգեւորս:","chr."
"սըմա","orhnétsék"
"վայել","ûzdér"
"սաղմոսք","hérgins"
"օրհնութիւնք","alélooya."
"սրկ.","dcn."
"երկիւղիւ","yérgyooghiv"
"հաւատով","chr."
"յառաջ","asdvadz"
"մատիք","mér"
"սըրբութեամբ","yév"
"հաղորդեցարուք:","dér"
"ասացէք","mér"
"ﬔղայ","yérévétsav"
"աստուծոյ։","méz."
"հաւատամք","orhnyal"
"հայր","yégyal"
"սուրբ","anvamp"
"աստուած","clb."
"ճշմարիտ։","gétso"
"հաւատամք","dér"
"յորդին","ûzzhoghovoortûs"
"սուրբ","yév"
"աստուած","orhnya"
"ճշմարիտ։","ûzzharankootyoonûs"
"հաւատամք","ko."
"դպր.","chr."
"լըցաք","lûtsak"
"բարութեանց","parootyants"
"քոց","kots"
"տէր","dér"
"ճաշակելով","jashagélov"
"ըզմարﬕն","ûzmarmin"
"զարիւն.","yév"
"փառք","zaryoon"
"բարձունըս","dcn."
"կերակրողիդ","yév"
"ըզﬔզ:","yévûs"
"հանապազ","khaghaghootyan"
"կերակրես","ûzdér"
"ըզﬔզ","aghachéstsook."
"առաքեա","chr."
"ըզհոգեւոր","dér"
"զօրհնութիւն.","voghormya."
"փառք","dcn."
"բարձունըս","yév"
"կերակրողիդ","yévûs"
"ըզﬔզ:","havadov"
"սրկ.","ûngalyalk"
"եւըս","hasdvadzayin"
"խաղաղութեան","soorp"
"ըզտէր","yérgnayin"
"աղաչեսցուք:","anmah"
"դպր.","clb."
"տէր","vor"
"ողորﬔա:","orhnés"
"սրկ.","zaynosig"
"եւըս","vork"
"հաւատով","orhnén"
"ընկալեալք","ûzkéz"
"յաստուածային","dér"
"սուրբ","yév"
"երկնային","soorp"
"անմահ","arnés"
"անարատ","chr."
"անապական","orhnyal"
"խորհըրդոյս","asdvadz."
"ըզտեառնէ","clb."
"գոհացարուք:","gétso"
"դպր.","ûzzhoghovoortûs"
"գոհանամք","yév"
"ըզքէն","orhnya"
"տէր","ûzzharankootyoonûs"
"կերակրեցեր","ko"
"քհն.","clb."
"զխաղաղութիւն","ûzkhaghaghootyoon"
"պարգեւեա","barkévya"
"աﬔնայն","aménayn"
"աշխարհի","ashkharhi"
"եկեղեցեաց","yégéghétsyats"
"քահանայ-ից","clb."
"թագաւորաց","aménayn"
"քրիստոնէից","doork"
"հայրապետութեան","parik"
"հանրապետութեան","yév"
"ազգ-իս","aménayn"
"հայոց","barkévk"
"հանրապետութեան","gadaryalk"
"միացեալ","véroosd"
"նահանգացն","chr."
"աﬔրիկայի","amén."
"զինուորեալ","yéghitsi"
"մանկանց","anoon"
"նոցա","dyarn"
"աﬔնայն","orhnyal"
"ժողովրդեանս:","haysûmhédé"
"դպր.","minchév"
"ամէն:","havidyan."
"քհն.","clb."
"աﬔնայն","gadaroomn"
"տուրք","orinats"
"բարիք","yév"
"աﬔնայն","markaréyits"
"պարգեւք","too"
"կատարեալք","yés"
"վերուստ","krisdos"
"իջեալք","asdvadz"
"քէն","pûrgich"
"սրկ.","dcn."
"եւըս","yév"
"խաղաղութեան","yévûs"
"ըզտէր","khaghaghootyan"
"աղաչեսցուք","ûzdér"
"ընկալ","aghachéstsook"
"կեցո","ûngal"
"ողորﬔա։","gétso"
"քհն.","yév"
"օրհնութիւն","prs."
"փառք","orhnootyoon"
"հօր","yév"
"որդւոյ","park"
"հոգւոյն","hor"
"սրբոյ","yév"
"այժմ","vortvo"
"ﬕշտ","yév"
"յաւիտեանս","hokvooyn"
"յաւիտենից։","sûrpo"
"ամէն։","ayzhm"
"դպր.","chr."
"յանէից","vor"
"ստեղծող","hanéyits"
"քոյից","sdéghdzogh"
"արարչակից","koyits"
"հօր","ararchagits"
"բանդ","hor"
"աստուած","pant"
"թողութիւն","asdvadz"
"շնորհեա","chr."
"նընջեցելոց","vor"
"քոց","bûsagicht"
"ծառայից","kots"
"յորժամ","sûrpots"
"գաս","yév"
"դատել","anvakhjan"
"զոր","paryats"
"անարատ","pashkhogh"
"ձեռօք","chr."
"ստեղծեր։","alélooya"
"դպր.","alélooya."
"պըսակիչդ","chr."
"քոց","alleluia!"
"սըրբոց","alleluia!"
"սրկ.","dcn."
"ալէլուիա","alélooya"
"օրթի:","orti."
"քհն.","clb."
"խաղաղութիւն","khaghaghootyoon"
"աﬔնեցուն:","aménétsoon."
"դպր.","chr."
"ընդ","yév"
"հոգւոյդ","ûnt"
"քում:","hokvooyt"
"սրկ.","koom."
"երկիւղածութեամբ","dcn."
"լըւարուք:","yérgyooghadzootyamp"
"քհն.","lûvarook."
"սրբոյ","dcn."
"աւետարանիս","alleluia!"
"յիսուսի","rise."
"քրիստոսի","dcn."
"ըստ","broskhoomé."
"յովհաննու:","chr."
"(12.2426)","kahanayk"
"դպր.","yév"
"փառք","zhoghovoortk"
"քեզ","haytsémk"
"տէր","kén"
"աստուած","dér"
"ﬔր:","parékoot"
"սրկ.","ûnt"
"դպր.","chr."
"վերին","vérin"
"երուսաղէմ","yéroosaghém"
"բնակարանըս","pnagaranûs"
"հրեշտակաց","hréshdagats"
"ուր","oor"
"ենովք","yénovk"
"եղիաս","yév"
"կան","prs."
"ծերացեալ","hokvotsûn"
"աղաւնակերպ","hankootsélots"
"դրախտին","krisdos"
"եդեմական","asdvadz"
"պայծառացեալ","ara"
"արժանապէս.","hankisd"
"ողորմած","yév"
"տէր","dcn."
"ողորﬔա","yév"
"հոգւոցըն","yévûs"
"նընջեցելոց։","khaghaghootyan"
"քհն.","ûzdér"
"հոգւոցն","aghachéstsook."
"հանգուցելոց","clb."
"քրիստոս","dér"
"աստուած","voghormya"
"արա","clb."
"հանգիստ","tasavoryal"
"ողորմութիւն","baydzaratso"
"ﬔզ՝","ûnt"
"ﬔղաւորացս","soorpûs"
"շնորհեա","hachagoghmyan"
"զթողութիւն","tasoon."
"յանցանաց։","too"
"քհն.","prs."
"օրհնեալ","orhynal"
"տէր","dér"
"յիսուս","mér"
"քրիստոս։","hisoos"
"ամէն։","krisdos."
"դպր.","amén."
"հայր","chr."
"յերկինս","hayr"
"ես","mér"
"սուրբ","vor"
"եղիցի","hérgins"
"անուն","és"
"քո:","soorp"
"եկեսցէ","yéghitsi"
"արքայութիւն","anoon"
"քո.","ko."
"եղիցին","yégéstsé"
"կամք","chr."
"որպէս","togh"
"յերկինս","méz"
"յերկրի:","ûzbardis"
"զհաց","mér"
"հանապազորդ","vorbés"
"տուր","yév"
"այսօր:","mék"
"դպր.","toghoomk"
"թող","mérots"
"ըզպարտիս","bardabanats."
"ﬔր","prs."
"որպէս","arkayootyoon"
"թողումք","yév"
"ﬔրոց","zorootyoon"
"պարտապանաց:","yév"
"տանիր","park"
"զﬔզ","havidyans."
"փորձութիւն.","amén."
"այլ","chr."
"փըրկեա","orhnétsits"
"չարէ:","ûzdér"
"քհն.","haménayn"
"արքայութիւն","zham"
"զօրութիւն","haménayn"
"փառք","zham"
"յաւիտեանս։","orhootyoon"
"ամէն:","nora"
"դպր.","clb."
"օրհնեցից","orhnyalk"
"ըզտէր","yéghérook"
"յաﬔնայն","shnorhats"
"ժամ","sûrpo"
"յաﬔնայն","hokvooyn"
"ժամ","yértayk"
