armenian,phonetic
"աղաչեսցուք:","amén."
"օրհնեսցուք","dcn."
"զաﬔնակալն","vor"
"աստուած`","arzhani"
"ըզհայր","arar"
"տեառն","ûzméz"
"ﬔրոյ","gal"
"յիսուսի","déghvochûs"
"քրիստոսի","parapanootyan"
"սրկ.","yév"
"արժանի","yérkél"
"արար","clb."
"զﬔզ","hargi"
"կալ","sûrpootyan"
"տեղւոջս","yév"
"փառաբանութեան","déghvochûs"
"երգել","parapanootyan"
"զերգս","hréshdagats"
"հոգեւորս:","clb."
"աﬔնակալ","arachi"
"տէր","asdvadzûngal"
"աստուած","yév"
"ﬔր","baydzaratsyal"
"կեցո","soorp"
"ողորﬔա:","nûshanatsûs"
"քհն.","yév"
"յարկի","soorp"
"սրբութեան","clb."
"տեղւոջս","zorhnootyoon"
"փառաբանութեան","yév"
"հրեշտակաց","ûzparûs"
"բնակարանիս","ûnt"
"մարդկան","hor"
"քաւարանիս.","yév"
"քհն.","ûnt"
"առաջի","hokvooyt"
"աստուածընկալ","sûrpo"
"պայծառացեալ","ayzhm"
"սուրբ","yév"
"մեղեդի","chr."
"պաշտօն","parékhosootyamp"
"ճաշու","mor"
"սրկ.","dcn."
"օրհնեա","orhnya"
"տէր:","dér."
"քհն.","clb."
"օրհնեալ","orhnyal"
"թագաւորութիւնն","takavorootyoonûn"
"հօր","hor"
"որդւոյ","yév"
"հոգւոյն","vortvo"
"սրբոյ","yév"
"այժմ","hokvooyn"
"ﬕշտ","sûrpo"
"յաւիտեանս","ayzhm"
"յաւիտենից։","chr."
"ամէն:","miyadzin"
"դպր.","vorti"
"միածին","yév"
"որդի","pant"
"բանդ","asdvadz"
"աստուած","yév"
"անմահ","anmah"
"էութիւն","éyootyoon"
"յանձն","vor"
"առեր","hantsn"
"մարﬓանալ","chr."
"սըրբուհւոյ","minût"
"աստուածածնէն","sûrpo"
"ﬕշտ","yérrortooténén"
"կուսէն:","paravoragits"
"անփոփոխելիդ","ûnt"
"մարդ","hor"
"եղեալ","yév"
"խաչեցար","ûnt"
"քրիստոս","sûrpo"
"աստուած","dcn."
"ﬔր","yév"
"մահուամբ","yévûs"
"ըզմահ","khaghaghootyan"
"կոխեցեր:","ûzdér"
"դպր.","aghachéstsook"
"մինըդ","ûngal"
"սըրբոյ","gétso"
"երրորդութենէն","yév"
"փառաւորակից","clb."
"ընդ","orhnootyoon"
"հօր","yév"
"ընդ","park"
"սըրբոյ","hor"
"հոգւոյն","yév"
"կեցո","vortvo"
"ըզﬔզ:","yév"
"սրկ.","hokvooyn"
"եւըս","sûrpo"
"խաղաղութեան","ayzhm"
"զտէր","yév"
"աղաչեսցուք","chr."
"ընկալ","yév"
"կեցո","ûnt"
"ողորﬔա։","hokvooyt"
"օրհնեա","koom."
"տէր:","dcn."
"քհն.","asdoodzo"
"օրհնութիւն","yérgirbakéstsook."
